x,y,Amplitude (m)
-77.95900224,39.07855847,226.7371326
-77.96741772,39.07665722,109.9596696
-77.97385764,39.07726133,231.4470818
-77.97613933,39.07792506,0.530996399
-77.97841148,39.07836118,239.5528476
-77.98498749,39.07807577,11.2750462
-77.99176607,39.07848232,8.328962399
-77.99869429,39.07832736,121.836957
-78.00343356,39.07311203,393.6993214
-78.00109954,39.07750355,5.346143
-77.99886157,39.06999903,124.2464784
-77.99439136,39.07087073,134.402202
-77.99233585,39.07145506,389.5259346
-77.99727865,39.04160828,94.1455504
-78.00053001,39.03879523,103.6199956
-78.00191971,39.03754146,73.162287
-78.00462386,39.03458534,685.4439944
-78.01964285,39.02379953,770.4023052
-78.02082062,39.02237562,129.5981874
-78.02432678,39.02006525,86.8290434
-78.02627295,39.01909513,1672.350341
-78.05826494,39.00680809,1776.438437
-78.05834104,38.99991823,259.5553818
-78.06308037,38.9961513,1115.325099
-78.08785788,38.98241626,1385.167005
-78.08774917,38.97903519,34.5336904
-78.08702002,38.97739537,80.3652476
-78.08484701,38.97409784,86.6130826
-78.08423011,38.97056893,213.5724294
-78.0874503,38.96605484,27.4548516
-78.09017723,38.96314996,157.0908878
-78.09572649,38.96007211,2727.668951
-78.15028166,38.95922887,3178.052973
-78.14773922,38.95443695,414.808933
-78.15264933,38.95197133,1289.08226
-78.18071938,38.96131106,1538.632757
-78.18114601,38.95795196,22.6413748
-78.18197942,38.95630542,165.4348784
-78.18578507,38.9543162,422.1927886
-78.19717593,38.94195196,390.6925682
-78.20154752,38.94079437,126.6148114
-78.20364432,38.94027708,0.0601128
-78.20574004,38.93978675,9.400974
-78.20800466,38.93940082,98.7586512
-78.2120436,38.93789251,98.390182
-78.21431484,38.93733544,150.0749448
-78.21928236,38.92913719,281.177622
-78.21919818,38.92724325,53.4831374
-78.21815311,38.92383987,7.2229982
-78.21697827,38.92232533,4.7800808
-78.21571755,38.92094386,0.986295199
-78.21443911,38.91942682,5.427406599
-78.21325818,38.91777696,2.856471201
-78.21202593,38.91626099,64.4359122
-78.20963601,38.91309567,162.0017696
-78.21015665,38.90972967,79.8704302
-78.21211226,38.90639796,40.562225
-78.21333912,38.90480561,61.1887078
-78.21566531,38.90175296,444.9477098
-78.22598553,38.89982756,325.2976342
-78.23046138,38.90035733,125.0268316
-78.23269097,38.90083753,113.5987204
-78.2369615,38.9022052,238.4452136
-78.24551599,38.90460574,130.6935762
-78.25172241,38.90314845,542.7061508
-78.24817845,38.89388624,5.4663686
-78.2447327,38.89176702,143.3512168
-78.24386243,38.8901248,77.7119354
-78.24438835,38.88665963,73.9059046
-78.24624208,38.88582048,22.280698
-78.24849611,38.88565871,133.7114614
-78.25315243,38.88597435,134.4584186
-78.25539304,38.88616092,244.7798782
-78.26203142,38.88499379,336.5776898
-78.26262277,38.88016064,558.4690628
-78.25318054,38.87088438,649.187627
-78.25540176,38.86796897,6.607398601
-78.25750427,38.8672369,125.9658158
-78.26186991,38.86608839,246.9784482
-78.27067282,38.86642588,106.7180312
-78.27755841,38.86718133,186.4910564
-78.28779454,38.870748,370.1796318
-78.29137994,38.87284036,87.0255232
-78.29340182,38.87396712,10.216393
-78.29524015,38.87498584,104.749337
-78.29896043,38.87718021,103.071188
-78.30082891,38.87805952,19.5066036
-78.30304785,38.87881613,230.3561458
-78.30940542,38.8778972,321.9257514
-78.3099792,38.87626171,80.4782374
-78.30910709,38.87475504,224.1945838
-78.30420705,38.87102017,178.930202
