x,y,Mean Curvature
-78.00343356,39.07311203,89.87511257
-78.00109954,39.07750355,29.93698571
-77.99886157,39.06999903,29.93698571
-77.99439136,39.07087073,0
-77.99233585,39.07145506,0
-77.99727865,39.04160828,29.96544805
-78.00053001,39.03879523,59.93246973
-78.00191971,39.03754146,29.96702168
-78.00462386,39.03458534,0
-78.01964285,39.02379953,29.98761939
-78.02082062,39.02237562,29.98761939
-78.02432678,39.02006525,0
-78.02627295,39.01909513,0
-78.05826494,39.00680809,29.99377437
-78.05834104,38.99991823,59.99001437
-78.06308037,38.9961513,0
-78.08785788,38.98241626,29.95291866
-78.08774917,38.97903519,59.93310938
-78.08702002,38.97739537,29.98019072
-78.08484701,38.97409784,59.9595051
-78.08423011,38.97056893,59.98549668
-78.0874503,38.96605484,59.92784036
-78.09017723,38.96314996,59.93611983
-78.09572649,38.96007211,0
-78.15028166,38.95922887,29.98657354
-78.14773922,38.95443695,59.92238619
-78.15264933,38.95197133,0
-78.18071938,38.96131106,29.90473375
-78.18114601,38.95795196,59.88597311
-78.18197942,38.95630542,29.98123937
-78.18578507,38.9543162,0
-78.19717593,38.94195196,29.93236906
-78.20154752,38.94079437,59.89826897
-78.20364432,38.94027708,29.96589992
-78.20574004,38.93978675,29.9909174
-78.20800466,38.93940082,29.9909174
-78.2120436,38.93789251,0
-78.21431484,38.93733544,0
-78.21928236,38.92913719,29.98393966
-78.21919818,38.92724325,29.98393966
-78.21815311,38.92383987,29.98522572
-78.21697827,38.92232533,29.98522572
-78.21571755,38.92094386,59.23882176
-78.21443911,38.91942682,59.00908983
-78.21325818,38.91777696,59.00908983
-78.21202593,38.91626099,29.75549379
-78.20963601,38.91309567,0
-78.21015665,38.90972967,29.89916756
-78.21211226,38.90639796,59.8615523
-78.21333912,38.90480561,29.96238474
-78.21566531,38.90175296,0
-78.22598553,38.89982756,29.98869692
-78.23046138,38.90035733,59.95552366
-78.23269097,38.90083753,29.96682674
-78.2369615,38.9022052,29.98223318
-78.24551599,38.90460574,59.97124822
-78.25172241,38.90314845,0
-78.24817845,38.89388624,29.96555642
-78.2447327,38.89176702,59.91521015
-78.24386243,38.8901248,29.94965374
-78.24438835,38.88665963,59.43745031
-78.24624208,38.88582048,59.43745031
-78.24849611,38.88565871,29.70803431
-78.25315243,38.88597435,0
-78.25539304,38.88616092,29.99775258
-78.26203142,38.88499379,59.98179119
-78.26262277,38.88016064,0
-78.25318054,38.87088438,29.90124681
-78.25540176,38.86796897,59.70449851
-78.25750427,38.8672369,29.8032517
-78.26186991,38.86608839,0
-78.27067282,38.86642588,29.98951923
-78.27755841,38.86718133,89.86373596
-78.28779454,38.870748,29.95753308
-78.29137994,38.87284036,59.65052165
-78.29340182,38.87396712,29.69298857
-78.29524015,38.87498584,29.96018262
-78.29896043,38.87718021,59.92713008
-78.30082891,38.87805952,29.96694745
-78.30304785,38.87881613,29.99454655
-78.30940542,38.8778972,89.600364
-78.3099792,38.87626171,89.6065783
-78.30910709,38.87475504,59.85422471
-78.30420705,38.87102017,29.79771052
-78.30252171,38.86987307,0
-78.3009838,38.8684861,29.96287234
-78.2997348,38.86507867,59.95569794
-78.30085623,38.86363428,29.99282559
-78.30535574,38.86349422,29.91405443
-78.30981404,38.86444654,59.88341784
-78.31206027,38.86416494,29.96936341
-78.31435022,38.86149681,0
-78.3104262,38.85737922,29.72056194
-78.31047709,38.85144317,59.97439366
-78.31482074,38.85083143,29.99570807
-78.31705637,38.8511261,29.99570807
-78.32150473,38.85232742,29.98524256
-78.32373678,38.85271969,29.98524256
-78.32838725,38.85283653,0
-78.32994524,38.8518451,0
-78.329328,38.84832629,29.98981286
-78.3283296,38.84668173,29.98981286
-78.32773413,38.84504639,59.89280202
-78.32747754,38.84328367,59.84731123
-78.32762382,38.84153017,59.84731123
-78.3285294,38.83997938,29.94432207
-78.33287654,38.83938377,0
-78.35020251,38.83813656,29.95864067
-78.34685406,38.83561712,59.91465352
-78.34553735,38.83410062,59.80743554
-78.34516291,38.83084867,59.75871271
-78.34641901,38.82928254,29.90729002
-78.3483265,38.82816365,29.9588355
-78.35715336,38.82774215,59.9822758
-78.36343519,38.82637059,0
-78.36306925,38.81949703,29.99404651
-78.36033446,38.81646207,59.97162796
-78.3586572,38.81510514,29.97758145
-78.35511655,38.81275817,29.98907413
-78.35325542,38.81170693,29.98907413
-78.34944594,38.81009789,0
-78.3486616,38.80835926,0
-78.35636757,38.80228494,29.97269438
-78.36057455,38.80060548,59.95510679
-78.3628276,38.80039125,29.98241241
-78.36730487,38.80074455,0
-78.3836475,38.8072204,29.99341078
-78.38731982,38.8019329,59.791141
-78.38679561,38.80016429,59.81264735
-78.38552925,38.79864935,29.81445326
-78.38394247,38.79727138,29.81445326
-78.38197676,38.79624527,29.97592788
-78.37824036,38.7945307,59.88888531
-78.37637966,38.79347082,29.91295742
-78.374521,38.7923569,29.99114285
-78.37133833,38.78968152,59.91561771
-78.37016219,38.78816845,59.90238547
-78.37049323,38.78486216,29.97791061
-78.37224553,38.78378802,0
-78.37433934,38.78319259,0
-78.40189056,38.79000487,29.99415123
-78.40835359,38.78955384,59.30069219
-78.40836716,38.78631966,29.59734336
-78.40504581,38.78394844,59.27131696
-78.4031843,38.78290699,29.6739736
-78.40114574,38.7819877,29.99382965
-78.39706749,38.78018504,59.96917144
-78.39521046,38.77902643,29.97534179
-78.39352666,38.77785365,29.98782221
-78.39184251,38.77669164,29.98782221
-78.38848346,38.7741191,0
-78.38695957,38.77273357,0
-78.41128885,38.77365376,29.9815965
-78.41778686,38.77538074,59.98492778
-78.42247051,38.77298208,59.89362466
-78.42108071,38.76957275,89.74155676
-78.42008116,38.76792892,89.74248821
-78.41906298,38.76641983,59.86888735
-78.41499455,38.76187004,0
-78.41363392,38.76035332,29.98933642
-78.4125263,38.75884218,29.98933642
-78.41160691,38.75530802,29.76791144
-78.41226331,38.75370081,59.36617059
-78.41378855,38.75224798,59.36617059
-78.41556178,38.75093577,29.59825915
-78.41941373,38.74940689,0
-78.42408944,38.74896178,29.99927611
-78.43101434,38.74835746,59.97564478
-78.43733089,38.74680957,59.97323068
-78.43838958,38.74522184,29.98188907
-78.43789591,38.74156205,29.97445555
-78.4368547,38.7400526,59.94182952
-78.43378149,38.73539014,59.97654468
