x,y,Width (m)
-94.1906041,33.81150041,67.5
-94.1894602,33.78817165,91
-94.18866252,33.81172656,80
-94.188031,33.78948409,84
-94.18612707,33.80213729,78
-94.1856646,33.80038314,80
-94.18420248,33.79349805,80
-94.18386932,33.80494028,84
-94.18299831,33.8094723,96
-94.18237316,33.80612342,80
-94.17714171,35.37595236,390
-94.17538875,33.7891272,93
-94.17328326,33.78918074,92
-94.17002387,33.78619307,75
-94.16874432,35.3776259,399
-94.1678468,33.59113128,170
-94.1672321,33.78342377,88
-94.16619323,33.78486754,67
-94.16445816,35.37813098,390
-94.16348807,33.59155629,165
-94.16231173,35.37815165,390
-94.16153838,33.78424408,108
-94.16035781,33.78303769,264.5
-94.15619459,33.78346457,223
-94.15356044,35.37820461,780
-94.1524311,33.57613324,191
-94.15141842,35.37853546,719
-94.15111447,33.58142151,234
-94.15064382,35.43384842,1095
-94.15061814,35.42681602,1129.5
-94.15041466,35.435744,772.5
-94.14848957,35.42399619,671
-94.14725257,35.42252027,689
-94.14712539,35.37856728,682.5
-94.14590798,35.42091012,716
-94.14419078,33.78231388,200.5
-94.14360167,35.4447618,890
-94.14283477,35.37877024,862
-94.14239204,33.78105712,256
-94.14103239,35.37977185,933
-94.14032786,35.44699993,911
-94.13939935,35.38107479,678
-94.13928792,35.41150572,637.5
-94.13869165,35.44817306,954
-94.13796531,35.38244075,721
-94.13772265,35.40827463,511.5
-94.13705798,35.44953007,1018
-94.13674186,35.40666094,557
-94.13566805,33.78151653,87
-94.13518326,35.38503656,658.5
-94.13465636,33.78314145,87
-94.13328154,35.40020175,398.5
-94.13301187,35.38816757,597
-94.13259318,35.39845004,379
-94.13215416,35.38966329,470
-94.13199044,35.4535358,1635.5
-94.13194753,35.3914234,390
-94.1317409,35.39318351,422
-94.13156257,35.39494336,438
-94.13071688,33.57008348,175
-94.12785306,35.45316365,2132
-94.12685575,33.57142643,135
-94.1256949,35.45248568,1984
-94.12477667,33.78434119,80.5
-94.12170992,35.45117937,875.5
-94.1212057,33.7896225,221
-94.12033136,33.7880071,129.5
-94.11870865,33.79113323,136
-94.11740028,35.45029067,553
-94.11675186,33.79016794,107
