x,y,Meander length (m)
-94.32496399,33.85624814,870.2212079
-94.32438733,35.36295952,1080.096106
-94.32396876,33.85299681,662.4566343
-94.32170295,33.85326076,609.7505974
-94.32135708,33.86238446,1278.03454
-94.31960321,33.85378184,1251.44908
-94.31949429,33.8614575,1305.805212
-94.3187305,35.36028565,1183.034556
-94.31783422,33.85472603,4591.706586
-94.31657565,35.35975401,1183.034556
-94.31050085,33.85229174,4591.706586
-94.30478239,35.35529632,2407.200233
-94.30448757,33.83854859,3850.318283
-94.30435764,33.85346615,4591.706586
-94.30430448,33.83503341,3850.318283
-94.30415831,33.83679351,3850.318283
-94.3038942,33.57300669,1916.277018
-94.30348016,33.82273218,1855.087021
-94.30327786,35.35412784,2407.200233
-94.30242977,33.82115605,1855.087021
-94.30177338,35.35295933,2407.200233
-94.30092635,33.8480554,4295.151265
-94.30038942,33.57997375,4785.563901
-94.29994127,35.35194581,1676.048245
-94.29962201,33.82982649,3850.318283
-94.29578267,35.34996184,944.896257
-94.29558083,33.82554797,1914.768198
-94.29507292,33.82728482,1247.167435
-94.29432212,33.82233006,1855.087021
-94.2923885,33.8230816,632.7232403
-94.29092432,33.5608322,2460.918577
-94.29044067,35.34621057,478.1865477
-94.28976826,33.56219705,2460.918577
-94.28877552,35.34529787,1349.504476
-94.28823882,33.56352069,2460.918577
-94.28502914,33.56603419,2460.918577
-94.28183594,33.5822107,4785.563901
-94.28064267,33.82884239,615.9356135
-94.27986334,33.56902059,2460.918577
-94.278849,33.82812512,846.8984247
-94.27810111,33.57006512,2460.918577
-94.27597166,33.823561,1556.451602
-94.27555219,33.58354856,4141.338248
-94.27473882,33.57220115,2460.918577
-94.2720862,35.34415471,2682.562571
-94.27121294,33.57862264,1564.435636
-94.27011566,35.34480657,2682.562571
-94.26854926,33.81849713,1556.451602
-94.26658395,35.34653868,2682.562571
-94.26554402,33.81619225,2637.93429
-94.264452,33.57530991,4539.98625
-94.26362658,33.57707698,4539.98625
-94.26284423,33.57884361,4539.98625
-94.26211748,33.81814648,2637.93429
-94.26057302,35.35175878,1029.602863
-94.25711232,33.81663923,2637.93429
-94.25544044,33.58431663,4539.98625
-94.2540428,33.58565204,4539.98625
-94.25341349,33.8178673,1204.430492
-94.25311217,35.35536171,1827.163144
-94.25162863,33.8177231,1204.430492
-94.25096982,35.35560416,1827.163144
-94.25084285,33.56327296,2098.451461
-94.25023665,33.58772878,4539.98625
-94.24985289,33.81300647,1756.187385
-94.24950654,33.81476856,1756.187385
-94.24847344,33.58875668,4539.98625
-94.24670785,33.58962224,4539.98625
-94.2458499,33.8103917,1756.187385
-94.24393326,33.80964114,1743.306048
-94.24318335,33.56928444,2098.451461
-94.24268174,33.59066252,4539.98625
-94.24125407,33.56998021,2098.451461
-94.2394924,33.57109815,2098.451461
-94.23850965,33.80707858,1740.729781
-94.23716092,33.80569427,1406.934092
-94.23652864,33.58991558,4539.98625
-94.23407746,33.57669879,1117.740987
-94.23346495,33.57832826,2224.666214
-94.23113584,33.80138243,1054.037992
-94.22964332,35.35359217,2644.464701
-94.22799775,33.80781498,1804.994237
-94.22765405,35.35304437,2644.464701
-94.22714664,33.80268296,1804.994237
-94.22707358,33.55305815,2365.21895
-94.22150172,33.55590907,1366.716781
-94.22054924,33.8155069,1467.979432
-94.21973904,33.55695459,2015.853386
-94.217978,33.55811912,2015.853386
-94.21746365,35.35601463,1627.493811
-94.21736799,33.8071087,3670.034007
-94.21601165,33.80210783,3670.034007
-94.21474284,33.58371367,2398.157863
-94.21334973,35.35689966,1072.617443
-94.21285128,33.5843723,2398.157863
-94.21167248,33.56677409,1095.547277
-94.21137424,33.80419163,2137.011069
-94.21123526,33.57205434,1066.770142
-94.21099218,33.57029806,1066.770142
-94.2108461,33.80581112,2137.011069
-94.20513123,35.35931737,1789.354142
-94.20332743,35.36014139,1789.354142
-94.20287472,33.80822489,809.5785985
-94.20136074,35.36111668,1789.354142
-94.20077173,33.80848888,966.3271577
-94.1995616,35.36226159,1789.354142
-94.19866947,33.80880694,1095.782254
-94.19656882,33.80924089,1743.057735
-94.19466034,35.36577238,1386.446167
-94.19304103,35.36703262,1386.446167
-94.19253841,33.81075123,1743.057735
-94.1906041,33.81150041,1743.057735
-94.1894602,33.78817165,1396.80252
-94.18866252,33.81172656,1749.151858
-94.188031,33.78948409,1396.80252
-94.18612707,33.80213729,1914.388668
-94.1856646,33.80038314,1914.388668
-94.18420248,33.79349805,1396.80252
-94.18386932,33.80494028,1914.388668
-94.18299831,33.8094723,1752.198919
-94.18237316,33.80612342,1914.388668
-94.17714171,35.37595236,2225.280221
-94.17538875,33.7891272,3180.23261
-94.17328326,33.78918074,3180.23261
-94.17002387,33.78619307,3180.23261
-94.16874432,35.3776259,1318.87378
-94.1678468,33.59113128,1962.070682
-94.1672321,33.78342377,3309.835207
