x,y,Slope
-77.84640726,39.18433504,0.56269911
-77.86494357,39.14366508,0.72263246
-77.86732376,39.1407417,0.72263246
-77.86902149,39.13941883,0.72263246
-77.87021519,39.13804891,0.72263246
-77.87306183,39.13534093,0.72263246
-77.8749227,39.13416711,0.72263246
-77.87866678,39.13237196,0.72263246
-77.89936333,39.10989512,0.72263246
-77.90413457,39.1061277,0.72263246
-77.91010098,39.10360047,0.72263246
-77.96182238,39.09933752,0.787595879
-77.96599475,39.10061548,0.787595879
-77.96825286,39.10070081,0.787595879
-77.9726314,39.09979639,0.787595879
-77.97319683,39.09316958,0.787595879
-77.97172981,39.08983955,0.787595879
-77.96983827,39.08889503,0.787595879
-77.96531818,39.08861379,0.787595879
-77.96119124,39.08943946,0.787595879
-77.95895048,39.08976022,0.787595879
-77.95458092,39.08893164,0.787595879
-77.95466037,39.08269557,0.787595879
-77.95900224,39.07855847,0.787595879
-77.96741772,39.07665722,0.787595879
-77.97385764,39.07726133,0.787595879
-77.97613933,39.07792506,0.787595879
-77.97841148,39.07836118,0.787595879
-77.98498749,39.07807577,0.787595879
-77.99176607,39.07848232,0.787595879
-77.99869429,39.07832736,0.787595879
-78.00343356,39.07311203,1.683688988
-78.00109954,39.07750355,1.683688988
-77.99886157,39.06999903,0.047234879
-77.99439136,39.07087073,0.047234879
-77.99233585,39.07145506,0.047234879
-77.99727865,39.04160828,0.047234879
-78.00053001,39.03879523,0.630484156
-78.00191971,39.03754146,0.630484156
-78.00462386,39.03458534,0.630484156
-78.01964285,39.02379953,0.630484156
-78.02082062,39.02237562,0.630484156
-78.02432678,39.02006525,0.630484156
-78.02627295,39.01909513,0.630484156
-78.05826494,39.00680809,0.630484156
-78.05834104,38.99991823,0.630484156
-78.06308037,38.9961513,0.630484156
-78.08785788,38.98241626,0.630484156
-78.08774917,38.97903519,0.630484156
-78.08702002,38.97739537,0.630484156
-78.08484701,38.97409784,0.630484156
-78.08423011,38.97056893,0.630484156
-78.0874503,38.96605484,0.630484156
-78.09017723,38.96314996,0.630484156
-78.09572649,38.96007211,0.630484156
-78.15028166,38.95922887,0.653300924
-78.14773922,38.95443695,0.653300924
-78.15264933,38.95197133,0.653300924
-78.18071938,38.96131106,0.653300924
-78.18114601,38.95795196,0.653300924
-78.18197942,38.95630542,0.653300924
-78.18578507,38.9543162,0.653300924
-78.19717593,38.94195196,0.698965498
-78.20154752,38.94079437,0.698965498
-78.20364432,38.94027708,0.698965498
-78.20574004,38.93978675,0.698965498
-78.20800466,38.93940082,0.698965498
-78.2120436,38.93789251,0.698965498
-78.21431484,38.93733544,0.698965498
-78.21928236,38.92913719,0.698965498
-78.21919818,38.92724325,0.698965498
-78.21815311,38.92383987,0.698965498
-78.21697827,38.92232533,0.698965498
-78.21571755,38.92094386,0.698965498
-78.21443911,38.91942682,0.698965498
-78.21325818,38.91777696,0.698965498
-78.21202593,38.91626099,0.698965498
-78.20963601,38.91309567,0.698965498
-78.21015665,38.90972967,0.698965498
-78.21211226,38.90639796,0.698965498
-78.21333912,38.90480561,0.698965498
-78.21566531,38.90175296,0.698965498
-78.22598553,38.89982756,0.698965498
-78.23046138,38.90035733,0.698965498
-78.23269097,38.90083753,0.698965498
-78.2369615,38.9022052,0.698965498
-78.24551599,38.90460574,0.698965498
-78.25172241,38.90314845,0.698965498
-78.24817845,38.89388624,0.698965498
-78.2447327,38.89176702,0.698965498
-78.24386243,38.8901248,0.698965498
-78.24438835,38.88665963,0.698965498
-78.24624208,38.88582048,0.698965498
-78.24849611,38.88565871,0.698965498
-78.25315243,38.88597435,0.698965498
-78.25539304,38.88616092,0.698965498
-78.26203142,38.88499379,0.698965498
-78.26262277,38.88016064,0.698965498
-78.25318054,38.87088438,0.698965498
-78.25540176,38.86796897,0.698965498
-78.25750427,38.8672369,0.698965498
-78.26186991,38.86608839,0.698965498
-78.27067282,38.86642588,0.698965498
-78.27755841,38.86718133,0.968960386
-78.28779454,38.870748,0.968960386
-78.29137994,38.87284036,0.968960386
-78.29340182,38.87396712,0.968960386
-78.29524015,38.87498584,0.968960386
-78.29896043,38.87718021,0.968960386
-78.30082891,38.87805952,0.968960386
-78.30304785,38.87881613,0.968960386
-78.30940542,38.8778972,0.968960386
-78.3099792,38.87626171,0.968960386
-78.30910709,38.87475504,0.968960386
-78.30420705,38.87102017,0.968960386
-78.30252171,38.86987307,0.968960386
-78.3009838,38.8684861,0.968960386
-78.2997348,38.86507867,0.968960386
-78.30085623,38.86363428,0.968960386
-78.30535574,38.86349422,0.968960386
-78.30981404,38.86444654,0.968960386
-78.31206027,38.86416494,0.968960386
-78.31435022,38.86149681,0.968960386
-78.3104262,38.85737922,0.968960386
-78.31047709,38.85144317,0.968960386
-78.31482074,38.85083143,0.968960386
-78.31705637,38.8511261,0.968960386
-78.32150473,38.85232742,0.968960386
-78.32373678,38.85271969,0.968960386
-78.32838725,38.85283653,0.968960386
-78.32994524,38.8518451,0.968960386
-78.329328,38.84832629,0.968960386
-78.3283296,38.84668173,0.968960386
-78.32773413,38.84504639,0.968960386
-78.32747754,38.84328367,0.968960386
-78.32762382,38.84153017,0.968960386
-78.3285294,38.83997938,0.968960386
