x,y,Wavelength (m)
-94.22765405,35.35304437,571.2968587
-94.22714664,33.80268296,200374.4669
-94.22707358,33.55305815,27470.86897
-94.22150172,33.55590907,29215.79483
-94.22054924,33.8155069,116.3873236
-94.21973904,33.55695459,28652.40736
-94.217978,33.55811912,200271.3631
-94.21746365,35.35601463,27717.52011
-94.21736799,33.8071087,172980.9042
-94.21601165,33.80210783,24868.33492
-94.21474284,33.58371367,173079.4265
-94.21334973,35.35689966,73.3184126
-94.21285128,33.5843723,199276.779
-94.21167248,33.56677409,24470.2884
-94.21137424,33.80419163,587.7980066
-94.21123526,33.57205434,26037.03188
-94.21099218,33.57029806,26021.80387
-94.2108461,33.80581112,199153.6289
-94.20513123,35.35931737,173028.0467
-94.20332743,35.36014139,172667.6148
-94.20287472,33.80822489,108.5693359
-94.20136074,35.36111668,29.38733244
-94.20077173,33.80848888,127.4507593
-94.1995616,35.36226159,35.40629798
-94.19866947,33.80880694,172882.2638
-94.19656882,33.80924089,173321.3935
-94.19466034,35.36577238,173413.3755
-94.19304103,35.36703262,173104.9552
-94.19253841,33.81075123,173161.8463
-94.1906041,33.81150041,2513.557932
-94.1894602,33.78817165,25.17529796
-94.18866252,33.81172656,146.0999217
-94.188031,33.78948409,1067.477284
-94.18612707,33.80213729,1213.282474
-94.1856646,33.80038314,961.7208096
-94.18420248,33.79349805,507.3008248
-94.18386932,33.80494028,1778.253422
-94.18299831,33.8094723,131.7077444
-94.18237316,33.80612342,174380.5608
-94.17714171,35.37595236,1892.0196
-94.17538875,33.7891272,176639.4171
-94.17328326,33.78918074,326.627241
-94.17002387,33.78619307,176825.7153
-94.16874432,35.3776259,21714.27845
-94.1678468,33.59113128,177466.5806
-94.1672321,33.78342377,21566.72069
-94.16619323,33.78486754,177522.8062
-94.16445816,35.37813098,21519.40881
-94.16348807,33.59155629,2.300886278
-94.16231173,35.37815165,21450.0052
-94.16153838,33.78424408,177568.086
-94.16035781,33.78303769,86.77543879
-94.15619459,33.78346457,177573.9817
-94.15356044,35.37820461,23080.12361
-94.1524311,33.57613324,36.83039872
-94.15141842,35.37853546,588.689809
-94.15111447,33.58142151,6157.437887
-94.15064382,35.43384842,205429.3178
-94.15061814,35.42681602,211.0163902
-94.15041466,35.435744,313.9045403
-94.14848957,35.42399619,1472.065656
-94.14725257,35.42252027,5057.145217
-94.14712539,35.37856728,179.2420747
-94.14590798,35.42091012,177694.9295
-94.14419078,33.78231388,2655.169608
-94.14360167,35.4447618,177717.5226
-94.14283477,35.37877024,185203.6049
-94.14239204,33.78105712,111.4996297
-94.14103239,35.37977185,185452.7537
-94.14032786,35.44699993,145.0430337
-94.13939935,35.38107479,3951.216313
-94.13928792,35.41150572,7469.378957
-94.13869165,35.44817306,3235.512035
-94.13796531,35.38244075,4441.493402
-94.13772265,35.40827463,7468.382537
-94.13705798,35.44953007,179.6358173
-94.13674186,35.40666094,185683.267
-94.13566805,33.78151653,2407.22531
-94.13518326,35.38503656,180.8859224
-94.13465636,33.78314145,1688.188886
-94.13328154,35.40020175,178671.5076
-94.13301187,35.38816757,195.0007881
-94.13259318,35.39845004,166.504357
-94.13215416,35.38966329,6132.146759
-94.13199044,35.4535358,195.9354386
-94.13194753,35.3914234,6718.416548
-94.1317409,35.39318351,391.8411439
-94.13156257,35.39494336,202947.496
-94.13071688,33.57008348,6481.082876
-94.12785306,35.45316365,149.4973405
-94.12685575,33.57142643,75.47093211
-94.1256949,35.45248568,23701.67125
-94.12477667,33.78434119,145.4191565
-94.12170992,35.45117937,587.9154386
-94.1212057,33.7896225,185144.3366
-94.12033136,33.7880071,168.1744343
-94.11870865,33.79113323,185045.4067
-94.11740028,35.45029067,107.4565852
-94.11675186,33.79016794,83.26048785
-94.11540659,35.44954273,79.35299568
-94.11479837,33.7894551,95.30702861
-94.11341144,35.44868658,11.29419509
-94.11269344,33.78955656,60.18625156
-94.11142068,35.44814592,24373.43414
-94.10971458,33.57060727,50.27200759
-94.10926588,35.44769432,7.974563698
-94.10761458,33.57067891,80.81323705
-94.10710736,35.44696836,24382.68363
-94.10637668,33.78971128,80.63824035
